,[0]_stm[Pr],[1]_stm+flex[Pr],[2]_stm+flex+cumul[Pr],[3]_stm+flex+cumul+rbs[Pr],[4]_stm+flex+cumul+rbs+rc[Pr],[0]_stm[Pr.Pl.36N],[1]_stm+flex[Pr.Pl.36N],[2]_stm+flex+cumul[Pr.Pl.36N],[3]_stm+flex+cumul+rbs[Pr.Pl.36N],[4]_stm+flex+cumul+rbs+rc[Pr.Pl.36N],[5]_extended[Pr.Pl.36N]
Pr_training,1.0030567254570855e-07,0.00018364459880981787,5.494463018362872e-05,0.010978937290277657,0.006516936843151244,6.786896014554511e-05,0.00033361630743766746,2.7472632751823767e-05,0.011059790900472155,0.008876046667302573,0.018262468900384077
Pl_training,0.010784323861014466,0.0097060766838587,0.0072407437983292855,0.02943024629567914,0.024411624040989177,0.002568409563514229,0.003926506674512997,0.005693245850301953,0.028269437434017886,0.03031143096424216,0.016673712725521428
36N_training,0.004916257420485959,0.006120274844424012,0.004874608629081734,0.00529280509017005,0.004996092090295723,0.010746107705281616,0.008723785801548312,0.006060532560891452,0.006429703999713654,0.005407008310432615,0.005881020534140746
Pr.Pl_training,0.008112984185733474,0.007107839841477337,0.008579708779864692,0.006837744109665644,0.004783326594194892,0.007655964016461736,0.006620643564883566,0.007133081764410298,0.00896146833188649,0.009136316107540843,0.013310895582906213
Pr_validation,0.003486887141215922,0.004673470842124883,0.004609495031557942,0.006898171923248486,0.005569932020204504,0.00035454957767055983,0.0047871770162519756,0.0029801273105981574,0.00799937202437584,0.008151188148471267,0.008592939474140193
Pl_validation,0.008376540027920876,0.008175891129180712,0.009685625195078318,0.02693142874336285,0.02787479973685625,0.004397108664275784,0.006857569204637981,0.008569043763100193,0.02754374367099588,0.02941279893910964,0.023687351528981715
36N_validation,0.010777492448790005,0.010217767172247871,0.008041040322676385,0.008554736537820795,0.008291123000929379,0.004047114850934563,0.008889238128737764,0.01044542270926041,0.010993557307543256,0.006766522843329903,0.00765358033164687
Pr.Pl_validation,0.002385739478326432,0.0023280394098886825,0.003927759016316923,0.005964819650672748,0.005836485359714039,0.003629697662452247,0.0029308668711275354,0.003319023311164737,0.008268728786807067,0.009310951815439727,0.010710395936099237
Pr_evaluation,7.137562265713271e-05,0.00017330941216509022,5.093681867118782e-05,0.004491474426739361,0.004377259204210171,9.636481610053593e-05,0.0010371962353326047,0.00010042296324241917,0.006475498836502225,0.00819083771444229,0.013676479739084257
Pl_evaluation,0.0254883424735326,0.03023344678142481,0.03380123373258992,0.038487381236522955,0.03232151362153213,0.028354869317419706,0.029266349705197592,0.0351485624820439,0.03959568706065286,0.036168663349987806,0.014382277330858506
36N_evaluation,0.003175265140437533,0.0020539258264704596,0.0017166200108387208,0.001601274756182769,0.0016347791585810123,7.358390311518193e-07,0.0002575014187367053,0.0014617815438469073,0.001238248793419383,0.0022191497606913746,0.0018978389682450247
Pr.Pl_evaluation,0.015201414608640107,0.01442492205961754,0.018038780848143032,0.004516301316673688,0.0044812779582691364,0.018483498409116783,0.014188760517262922,0.016121303250370866,0.008147053455451969,0.009614055756605011,0.010494220734594162
Pr_all,0.000106165190464802,0.0005996374881569455,0.00037336551733646584,0.008576711667623749,0.005855768299080744,8.09227951814595e-06,0.0009909056549709527,0.00026677496396387834,0.00940026284979556,0.008584522300636332,0.015015625370995211
Pl_all,0.01274962619241471,0.01253453223248735,0.011507954513807928,0.0306417090291502,0.026596985453608335,0.005954723228554282,0.007780141077939784,0.010271496194212415,0.030246568135335772,0.03126531305333735,0.017659697152618392
36N_all,0.003075509565792389,0.004064201745862861,0.003044645523318068,0.003365977094599071,0.0031028045926478898,0.005587278273464613,0.005600088509610912,0.003952646723420661,0.004262173544350323,0.0030137748157085253,0.003432044442699178
Pr.Pl_all,0.007931898873565935,0.007197694421045786,0.00909490915693445,0.006155112181675637,0.004926986364253372,0.008514301844750438,0.007019772860892726,0.007752924730187183,0.008660187238660133,0.009256505332056242,0.012179394895054263
